salesdate,kind,sales,Adjusted
4-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",309853,N
5-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",328818,N
6-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",320441,N
7-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",314672,N
8-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",327024,N
9-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",312607,N
10-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",320434,N
11-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",347323,N
12-1-2017,"Retail sales, total (excl. motor vehicle and parts dealers)",396902,N
1-1-2017,GAFO(1),89665,N
2-1-2017,GAFO(1),90295,N
3-1-2017,GAFO(1),103318,N
4-1-2017,GAFO(1),100738,N
5-1-2017,GAFO(1),104278,N
6-1-2017,GAFO(1),103200,N
7-1-2017,GAFO(1),102606,N
8-1-2017,GAFO(1),108670,N
9-1-2017,GAFO(1),100576,N
10-1-2017,GAFO(1),102945,N
11-1-2017,GAFO(1),118959,N
12-1-2017,GAFO(1),149727,N
1-1-2016,"Retail and food services sales, total",401911,N
2-1-2016,"Retail and food services sales, total",415093,N
3-1-2016,"Retail and food services sales, total",460910,N
4-1-2016,"Retail and food services sales, total",451121,N
5-1-2016,"Retail and food services sales, total",470116,N
6-1-2016,"Retail and food services sales, total",464721,N
7-1-2016,"Retail and food services sales, total",462004,N
8-1-2016,"Retail and food services sales, total",471690,N
9-1-2016,"Retail and food services sales, total",448516,N
10-1-2016,"Retail and food services sales, total",453155,N
11-1-2016,"Retail and food services sales, total",467232,N
12-1-2016,"Retail and food services sales, total",539667,N
1-1-2016,Retail sales and food services excl motor vehicle and parts,321013,N
2-1-2016,Retail sales and food services excl motor vehicle and parts,324880,N
3-1-2016,Retail sales and food services excl motor vehicle and parts,359702,N
4-1-2016,Retail sales and food services excl motor vehicle and parts,353383,N
5-1-2016,Retail sales and food services excl motor vehicle and parts,371156,N
6-1-2016,Retail sales and food services excl motor vehicle and parts,366135,N
